aspiration,drivewheel,wheelbase,carlength,carwidth,curbweight,cylindernumber,enginesize,boreratio,stroke,horsepower,price
std,fwd,97.2,172.0,65.4,2145,four,108,3.62,2.64,82,7126.0
std,fwd,97.3,171.7,65.5,2264,four,97,3.01,3.4,52,7995.0
std,fwd,103.3,174.6,64.6,2535,four,122,3.34,3.46,88,8921.0
std,rwd,107.9,186.7,68.4,3075,four,120,3.46,2.19,95,15580.0
std,fwd,86.6,144.6,63.9,1819,four,92,2.91,3.41,76,6855.0
std,rwd,98.4,176.2,65.6,2551,four,146,3.62,3.5,116,9989.0
std,fwd,93.7,157.3,63.8,1876,four,90,2.97,3.23,68,5572.0
turbo,rwd,115.6,202.6,71.7,3770,five,183,3.58,3.64,123,31600.0
std,fwd,93.7,150.0,64.0,1956,four,92,2.91,3.41,76,7129.0
std,fwd,96.5,169.1,66.0,2293,four,110,3.15,3.58,100,10345.0
std,fwd,100.4,184.6,66.5,3296,six,181,3.43,3.27,152,14399.0
std,fwd,93.7,167.3,63.8,1989,four,90,2.97,3.23,68,6692.0
std,fwd,96.5,167.5,65.2,2289,four,110,3.15,3.58,86,9095.0
turbo,fwd,93.7,157.3,63.8,2128,four,98,3.03,3.39,102,7957.0
std,rwd,89.5,168.9,65.0,2756,six,194,3.74,2.9,207,32528.0
std,fwd,86.6,144.6,63.9,1713,four,92,2.91,3.41,58,6479.0
std,rwd,120.9,208.1,71.7,3900,eight,308,3.8,3.35,184,40960.0
std,fwd,93.7,150.0,64.0,1837,four,79,2.91,3.07,60,5399.0
std,rwd,98.4,176.2,65.6,2714,four,146,3.62,3.5,116,11549.0
std,fwd,95.7,169.7,63.6,2280,four,92,3.05,3.03,62,6918.0
std,rwd,94.5,168.7,64.0,2169,four,98,3.19,3.03,70,8058.0
std,rwd,102.9,183.5,67.7,3016,six,171,3.27,3.35,161,15998.0
std,fwd,105.8,192.7,71.4,2954,five,136,3.19,3.4,110,18920.0
std,rwd,89.5,168.9,65.0,2756,six,194,3.74,2.9,207,34028.0
std,fwd,94.5,165.3,63.8,1951,four,97,3.15,3.29,69,7299.0
turbo,fwd,95.9,173.2,66.3,2833,four,156,3.58,3.86,145,12629.0
std,fwd,98.8,177.8,66.5,2443,four,122,3.39,3.39,64,10795.0
turbo,fwd,105.8,192.7,71.4,3086,five,131,3.13,3.4,140,23875.0
std,rwd,109.1,188.8,68.9,3012,six,173,3.58,2.87,134,21485.0
std,fwd,103.3,174.6,64.6,2535,four,122,3.35,3.46,88,8921.0
std,fwd,93.7,157.3,64.4,1944,four,92,2.97,3.23,68,6189.0
turbo,rwd,108.0,186.7,68.3,3130,four,134,3.61,3.21,142,18150.0
turbo,fwd,97.3,171.7,65.5,2319,four,97,3.01,3.4,68,9495.0
std,fwd,93.1,166.8,64.2,1950,four,91,3.08,3.15,68,7395.0
